ID,naME,AlgaeRemoval110kpa
1,v31-151-1021(10%),62.99805
2,v31-151-0421(10%),65.4552
3,v31-151-1015(10%),65.52674
4,v31-151-0421(5%),69.414
5,v31-151-1015(5%),70.38085
6,v31-151-0025(10%),70.83185
7,v31-151-,71.69291
8,v31-151-1021(5%),73.05174
9,v31-151-0025(5%),75.97122
10,v22-301-1021(5%),81.13863
11,v22-301-1015 (5%),81.85893
12,v22-301-0025(5%),86.88113
13,v22-301-1015 (10%),87.47633
14,v22-301-0025(10%),87.8963
15,v22-301,88.14097
16,v22-301-0421 (10%),89.95303
17,v22-301-1021(10%),91.91157
18,v22-301-0421 (5%),95.88955
